"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"04.04.2026 10:30:12";"04.04.2026";"*7890";"OK";"3500,00";"RUB";"3500,00";"RUB";"";"Переводы";"";"Вывод с брокерского счета";"0,00";"0,00";"3500,00"
"03.04.2026 20:14:55";"03.04.2026";"*3456";"OK";"-890,00";"RUB";"-890,00";"RUB";"8,00";"Одежда и обувь";"5651";"Lamoda";"8,00";"0,00";"-890,00"
"03.04.2026 20:14:20";"03.04.2026";"*7890";"OK";"895,00";"RUB";"895,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"895,00"
"03.04.2026 20:14:19";"03.04.2026";"*3456";"OK";"-895,00";"RUB";"-895,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-895,00"
"02.04.2026 08:05:11";"02.04.2026";"*4521";"OK";"-55,00";"RUB";"-55,00";"RUB";"";"Местный транспорт";"4111";"Московский метрополитен";"0,00";"0,00";"-55,00"
"02.04.2026 08:04:40";"02.04.2026";"*7890";"OK";"55,00";"RUB";"55,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"55,00"
"02.04.2026 08:04:39";"02.04.2026";"*4521";"OK";"-55,00";"RUB";"-55,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-55,00"
"01.04.2026 21:45:30";"01.04.2026";"*3456";"OK";"-1950,00";"RUB";"-1950,00";"RUB";"19,00";"Экосистема Яндекс";"3990";"Яндекс.Плюс";"19,00";"0,00";"-1950,00"
"01.04.2026 21:45:02";"01.04.2026";"*7890";"OK";"1950,00";"RUB";"1950,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"1950,00"
"01.04.2026 21:45:01";"01.04.2026";"*3456";"OK";"-1950,00";"RUB";"-1950,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-1950,00"
"31.03.2026 17:33:27";"31.03.2026";"*4521";"OK";"2000,00";"RUB";"2000,00";"RUB";"";"Переводы";"";"Мария С.";"0,00";"0,00";"2000,00"
"31.03.2026 14:12:08";"31.03.2026";"*3456";"OK";"-320,00";"RUB";"-320,00";"RUB";"3,00";"Фастфуд";"5814";"KFC";"3,00";"0,00";"-320,00"
"31.03.2026 14:11:44";"31.03.2026";"*7890";"OK";"320,00";"RUB";"320,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"320,00"
"31.03.2026 14:11:43";"31.03.2026";"*3456";"OK";"-320,00";"RUB";"-320,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-320,00"
"30.03.2026 22:48:11";"30.03.2026";"";"OK";"28,40";"RUB";"28,40";"RUB";"";"Проценты";"";"Проценты на остаток";"0,00";"0,00";"28,40"
"30.03.2026 11:09:34";"30.03.2026";"*4521";"OK";"-410,00";"RUB";"-410,00";"RUB";"4,00";"Супермаркеты";"5411";"Магнит";"4,00";"0,00";"-410,00"
"30.03.2026 11:09:06";"30.03.2026";"*7890";"OK";"410,00";"RUB";"410,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"410,00"
"30.03.2026 11:09:05";"30.03.2026";"*4521";"OK";"-410,00";"RUB";"-410,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-410,00"
"29.03.2026 18:57:42";"29.03.2026";"*3456";"OK";"-189,00";"RUB";"-189,00";"RUB";"1,00";"Различные товары";"5311";"OZON";"1,00";"0,00";"-189,00"
"29.03.2026 18:57:20";"29.03.2026";"*7890";"OK";"189,00";"RUB";"189,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"189,00"
"29.03.2026 18:57:19";"29.03.2026";"*3456";"OK";"-189,00";"RUB";"-189,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-189,00"
"28.03.2026 09:33:22";"28.03.2026";"*4521";"OK";"-249,00";"RUB";"-249,00";"RUB";"2,00";"Фастфуд";"5814";"Subway";"2,00";"0,00";"-249,00"
"28.03.2026 09:32:57";"28.03.2026";"*7890";"OK";"249,00";"RUB";"249,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"249,00"
"28.03.2026 09:32:56";"28.03.2026";"*4521";"OK";"-249,00";"RUB";"-249,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-249,00"
"27.03.2026 16:55:10";"27.03.2026";"*7890";"OK";"10000,00";"RUB";"10000,00";"RUB";"";"Переводы";"";"Пополнение брокерского счета";"0,00";"0,00";"10000,00"
"27.03.2026 12:40:08";"27.03.2026";"*3456";"OK";"-1570,00";"RUB";"-1570,00";"RUB";"15,00";"Авиабилеты";"3000";"Победа";"15,00";"0,00";"-1570,00"
"27.03.2026 12:39:33";"27.03.2026";"*7890";"OK";"1575,00";"RUB";"1575,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"1575,00"
"27.03.2026 12:39:32";"27.03.2026";"*3456";"OK";"-1575,00";"RUB";"-1575,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-1575,00"
"26.03.2026 18:22:14";"26.03.2026";"*4521";"OK";"-95,00";"RUB";"-95,00";"RUB";"";"Местный транспорт";"4111";"Петербургский метрополитен";"0,00";"0,00";"-95,00"
"26.03.2026 18:21:50";"26.03.2026";"*7890";"OK";"95,00";"RUB";"95,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"95,00"
"26.03.2026 18:21:49";"26.03.2026";"*4521";"OK";"-95,00";"RUB";"-95,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-95,00"
"25.03.2026 23:05:09";"25.03.2026";"";"OK";"42,17";"RUB";"42,17";"RUB";"";"Бонусы";"";"Зачисление кэшбэка";"0,00";"0,00";"42,17"
"25.03.2026 15:17:36";"25.03.2026";"*3456";"OK";"-760,00";"RUB";"-760,00";"RUB";"7,00";"Заправки";"5541";"Газпромнефть";"7,00";"0,00";"-760,00"
"25.03.2026 15:17:00";"25.03.2026";"*7890";"OK";"765,00";"RUB";"765,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"765,00"
"25.03.2026 15:16:59";"25.03.2026";"*3456";"OK";"-765,00";"RUB";"-765,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-765,00"
"24.03.2026 11:11:42";"24.03.2026";"*4521";"OK";"300,00";"RUB";"300,00";"RUB";"";"Переводы";"";"Вывод с брокерского счета";"0,00";"0,00";"300,00"
"24.03.2026 10:05:33";"24.03.2026";"*7890";"OK";"220,00";"RUB";"220,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"220,00"
"24.03.2026 10:05:32";"24.03.2026";"*4521";"OK";"-220,00";"RUB";"-220,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-220,00"
